product_id,rec_strength,product_name,category_path
1038,0.8530703880048081,LCD Asus VK278Q,Komputery;Monitory;Monitory LCD
1071,0.8530703880048081,LCD Philips 241B4LPYCB,Komputery;Monitory;Monitory LCD
1070,0.8530703880048081,LCD Philips 241S4LCB,Komputery;Monitory;Monitory LCD
1069,0.8530703880048081,LCD NEC EA224WMi,Komputery;Monitory;Monitory LCD
1068,0.8530703880048081,LCD NEC EA223WMe,Komputery;Monitory;Monitory LCD
1065,0.8530703880048081,LCD Asus PA248Q,Komputery;Monitory;Monitory LCD
1017,0.8530703880048081,LCD Dell U2412M,Komputery;Monitory;Monitory LCD
1039,0.8530703880048081,LCD Asus VS197D,Komputery;Monitory;Monitory LCD
1025,0.8530703880048081,LCD BenQ GL2250,Komputery;Monitory;Monitory LCD
1032,0.8530703880048081,LCD Iiyama E2280WSD,Komputery;Monitory;Monitory LCD
1033,0.8530703880048081,LCD Iiyama T1932MSC,Komputery;Monitory;Monitory LCD
1034,0.8530703880048081,LCD NEC EA223WM,Komputery;Monitory;Monitory LCD
1064,0.8530703880048081,LCD BenQ GL2250HM,Komputery;Monitory;Monitory LCD
1036,0.8530703880048081,LCD Asus VK228H,Komputery;Monitory;Monitory LCD
1037,0.8530703880048081,LCD Asus VK248H,Komputery;Monitory;Monitory LCD
1030,0.8530703880048081,LCD Iiyama B2280WSD,Komputery;Monitory;Monitory LCD
1066,0.8530703880048081,LCD Iiyama T1931SR,Komputery;Monitory;Monitory LCD
1317,0.49501901155247935,Plantronics Savi W740,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1316,0.49501901155247935,Plantronics Voyager Legend,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1315,0.49501901155247935,Jabra Talk,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1319,0.49501901155247935,HTC HS-S200,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1074,0.2941522980910434,Gembird BTCC-002,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1073,0.2941522980910434,Jabra Drive,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1201,0.2941522980910434,Jabra Speak 410,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
